,scores
0,1.3274004600080946
1,1.2967554845858176
2,1.5978817088061996
3,2.1800775645811603
4,1.560894267378104
5,1.1848414519773192
6,1.7987998055557033
7,1.236942823928232
8,1.388332543590348
9,1.4912260725901152
10,1.6871086589429896
11,2.7578527695234802
12,1.3777947378713402
13,1.308652595792705
14,1.324127235209271
15,1.6026100153095
16,2.764017571278217
17,1.3533414335247926
18,2.398449999183537
19,2.3617923830707923
20,1.3675488633292896
21,1.8103338585591155
22,2.0573962936850587
23,1.6010666024896447
24,1.629757729513088
25,1.360945338291463
26,1.8212629760216301
27,1.489714317913009
28,1.935162158788432
29,1.3324332371148
30,1.276895879497582
31,1.3935391102217036
32,2.306637774189215
33,1.4453306919056756
34,2.7962350977681973
35,1.6197693763184493
36,1.2898897393584294
37,1.214597619223297
38,1.0943869098448473
39,1.5282627727543796
40,1.2675271607665934
41,1.2345366922455572
42,1.9710004408381177
43,2.2304746075624067
44,2.5015742934466916
45,2.3073448112337838
46,2.368837840039863
47,3.0642882362381396
48,1.2220893453738895
49,1.210429928752623
50,2.4459756900274505
51,1.8786400597292383
52,2.113064175564359
53,2.0602307945302156
54,2.2864088557415148
55,4.466615889599937
56,1.2040855431785307
57,1.2079426263975455
58,2.3897641900086883
59,2.622210270663014
60,2.562646854179846
61,2.1418520140588777
62,2.321877194508026
63,2.8267337295255843
64,1.2028339650338558
65,1.2312917794527674
66,1.9119384747998112
67,2.1241354515777764
68,1.9643985554845766
69,2.172839528452469
70,2.3663206903873113
71,3.801079399712304
72,1.2173378143654239
73,1.3312410301906379
74,5.328539086539315
75,2.2609007940435966
76,2.0369488827487046
77,2.550476708151238
78,2.3984690137501437
79,5.718939783611301
80,1.3493280274394184
81,1.4577558088479368
82,1.3866216411453236
83,1.868765679763636
84,1.770642029837552
85,1.4674070772245258
86,1.3092118883938566
87,1.6123424127955615
88,2.931993118818165
89,1.5818525408830764
90,1.4228377409202633
91,1.9761370347984581
92,1.418702415027865
93,1.405372578873472
94,1.6818239093390488
95,1.737360991845893
96,1.4739871859327724
97,1.586219805921
98,1.6160108537369826
99,2.093029832330851
100,1.2871074226799328
101,1.6821908166015669
102,1.2743705743184248
103,1.446356953272139
104,2.235140255425403
105,2.323197146608154
106,1.6073093056136976
107,2.139461288919667
108,1.2614237631142158
109,2.1993149199067537
110,1.3517975215251758
111,1.4152709196180109
112,1.7282238781826427
113,1.6161726906641183
114,2.1969378035214673
115,1.8976974546118204
116,1.2624085150810533
117,2.6180603757314045
118,1.2528605364492966
119,1.4137407245846267
120,2.5907341341444377
121,2.3912241268015237
122,2.771333682259083
123,1.9180206820350194
124,3.2667792663688475
125,8.095128832692872
126,2.522161588280347
127,3.6195983022522578
128,2.772229987631359
129,3.3099316288021203
130,1.7345952745501458
131,1.9941063742964866
132,2.6354862192110886
133,1.9496204089911482
134,2.778935399583144
135,3.1820766943407954
136,2.9600447610252103
137,3.5645595630155875
138,2.0810735067455286
139,6.471030697210446
140,3.206133542306885
141,2.144058748969778
142,2.1006500445915086
143,2.84454584608915
144,2.9953950525986124
145,1.4858958896199137
146,3.0524680370617894
147,4.04425847594186
148,2.4127721989780078
149,3.834630226054248
150,2.119008576024492
151,3.091214157930947
152,3.314195272581219
153,1.433908425288243
154,2.166746623891956
155,2.229494680085127
156,3.086496903796455
157,2.4759019846651973
158,2.158310426784043
159,2.532805683167617
160,1.4318519880573701
161,1.5013170786743972
162,1.5440972936256239
163,2.5815722407105044
164,1.4129829544572057
165,2.458361090783542
166,1.244577502903029
167,1.4131430417077882
168,1.43992975251095
169,1.5548901786667133
170,2.2389727062636955
171,1.575851708173099
172,1.352187963539814
173,1.8985467414813684
174,1.1987035863969722
175,2.7253809756113085
176,1.4725663451562985
177,1.749382530275743
178,3.3830683414041385
179,2.296651705548836
180,1.3269287666711609
181,1.8615115575260557
182,1.2575658207512168
183,1.4554527870263567
184,1.5424201437190728
185,2.7146860678066735
186,2.4589289125688722
187,1.6593000345611533
188,1.518865575268412
189,1.8068334052040338
190,0.9807357764698952
191,1.4529500167566567
192,1.7087412167078124
193,3.3875257190098744
194,1.7545940880082849
195,1.610738633103127
196,1.2998623448888058
197,2.0739832856760727
198,1.0066747750160765
199,1.3461323988684484
200,2.8413244381647207
201,1.9472436398427022
202,2.20588325508631
203,4.942135586813816
204,3.023103283753859
205,2.2238856994623815
206,3.6022816449920447
207,3.596386105056583
208,1.729726710417685
209,1.9136903122962519
210,2.571778702476008
211,3.055188349962035
212,2.070302285900848
213,2.402557170072857
214,4.326267737980144
215,3.9412894820341458
216,1.6575028799542433
217,1.691294215852187
218,2.2878611616845195
219,4.187759120638444
220,1.8414905660751577
221,2.966698254683434
222,2.6089138473118596
223,2.8091048459492374
224,1.696517296866671
225,1.6743207095503514
226,2.071382070288312
227,2.6228185104378605
228,2.094042791937547
229,5.4599012668783775
230,6.715471871465354
231,2.6409283715283003
232,1.8556642748401677
233,2.231314184162248
234,1.98779494735743
235,2.228636517622116
236,1.9476470009019848
237,2.698612162061385
238,2.36030113433893
239,3.6973895665474448
240,2.738975240535292
241,2.399239774324276
242,1.6319000337502862
243,1.8306891358402255
244,1.6033244648766807
245,2.759547892480054
246,1.2210754830597736
247,2.0539925030359596
248,1.8230394712676028
249,1.750536761024262
250,1.836589730826533
251,1.458410600103014
252,1.7016767182143657
253,2.870430590812512
254,1.3465731319076621
255,3.776796699427942
256,2.2515127776332653
257,1.5788379546895086
258,1.4842541432270628
259,1.4181521766516476
260,2.253543477468543
261,2.681520449185168
262,1.616247458849247
263,2.7442128858416712
264,1.8575691227845352
265,1.5346019673589604
266,1.4373853296927797
267,1.4403123238198459
268,1.291300253696396
269,2.0061898080809866
270,1.8472788915892846
271,3.1842303595902766
272,1.651419963158182
273,1.531171725514388
274,1.4418869388060531
275,2.6022536704483477
276,1.9238701235244808
277,2.191798242833605
278,3.478015689034537
279,3.0357649165812575
280,2.0290121193678714
281,3.1364223782502942
282,3.0633464053512958
283,2.339884823355393
284,2.4794508109477924
285,2.228148198699751
286,1.8973342171197023
287,1.7344271832961022
288,2.304741763237085
289,1.8638298074061381
290,2.3185022469858776
291,5.290012872696648
292,1.6908458808257125
293,2.292866468385526
294,1.9692895885745347
295,1.7068549344056132
296,2.28844375015432
297,1.8402721289461326
298,2.3688320354461267
299,2.7193293235819125
300,1.702967893068174
301,1.976373157540248
302,1.9619662812272665
303,1.7052248961583198
304,1.8724491259866558
305,2.0825182788141494
306,2.79811995886708
307,5.962980921207538
308,1.637130334857709
309,1.8105860269072167
310,2.4962856512212563
311,1.6877211615129941
312,1.7855965289299727
313,1.9902371984258835
314,2.9512487844934103
315,3.840583038613234
316,1.7775121270561969
317,1.7935533184360795
318,1.846860740139214
319,1.719335228577784
320,1.5938475514647432
321,1.7277949473545762
322,1.6965775521599895
323,2.4467981883026315
324,2.072883708795894
