time,open,close,high,low
2020-01-01 01:00:00,1.12160,1.12191,1.12228,1.12124
2020-01-01 01:00:00,1.12192,1.12185,1.12193,1.12159
2020-01-02 01:00:00,1.12184,1.11711,1.12247,1.11638
2020-01-02 01:00:00,1.11711,1.11758,1.11763,1.11700
2020-01-03 01:00:00,1.11756,1.11626,1.11800,1.11251
2020-01-05 01:00:00,1.11687,1.11608,1.11703,1.11596
2020-01-05 01:00:00,1.11605,1.11638,1.11687,1.11603
2020-01-06 01:00:00,1.11637,1.11956,1.12058,1.11574
2020-01-06 01:00:00,1.11956,1.11901,1.11957,1.11894
2020-01-07 01:00:00,1.11900,1.11543,1.11972,1.11337
2020-01-07 01:00:00,1.11541,1.11588,1.11685,1.11529
2020-01-08 01:00:00,1.11588,1.11132,1.11634,1.11018
2020-01-08 01:00:00,1.11132,1.11137,1.11161,1.11094
2020-01-09 01:00:00,1.11137,1.11095,1.11206,1.10925
2020-01-09 01:00:00,1.11095,1.11072,1.11096,1.11063
2020-01-10 01:00:00,1.11071,1.11256,1.11293,1.10852
2020-01-12 01:00:00,1.11183,1.11165,1.11219,1.11137
2020-01-12 01:00:00,1.11163,1.11188,1.11190,1.11162
2020-01-13 01:00:00,1.11188,1.11346,1.11470,1.11127
2020-01-13 01:00:00,1.11347,1.11387,1.11424,1.11342
2020-01-14 01:00:00,1.11387,1.11278,1.11447,1.11046
2020-01-14 01:00:00,1.11278,1.11297,1.11310,1.11273
2020-01-15 01:00:00,1.11297,1.11526,1.11635,1.11186
2020-01-15 01:00:00,1.11527,1.11549,1.11583,1.11526
2020-01-16 01:00:00,1.11550,1.11373,1.11728,1.11281
2020-01-16 01:00:00,1.11372,1.11377,1.11395,1.11353
2020-01-17 01:00:00,1.11378,1.10920,1.11427,1.10863
2020-01-19 01:00:00,1.10940,1.10948,1.10951,1.10891
2020-01-19 01:00:00,1.10947,1.10931,1.10988,1.10929
2020-01-20 01:00:00,1.10931,1.10965,1.11024,1.10769
2020-01-20 01:00:00,1.10965,1.10926,1.10970,1.10911
2020-01-21 01:00:00,1.10925,1.10853,1.11181,1.10811
2020-01-21 01:00:00,1.10854,1.10829,1.10871,1.10825
2020-01-22 01:00:00,1.10830,1.10959,1.10985,1.10702
2020-01-22 01:00:00,1.10959,1.10873,1.10999,1.10799
2020-01-23 01:00:00,1.10875,1.10556,1.11089,1.10365
2020-01-23 01:00:00,1.10557,1.10529,1.10557,1.10508
2020-01-24 01:00:00,1.10530,1.10280,1.10618,1.10197
2020-01-26 01:00:00,1.10355,1.10249,1.10355,1.10248
2020-01-26 01:00:00,1.10248,1.10323,1.10351,1.10248
2020-01-27 01:00:00,1.10324,1.10197,1.10378,1.10098
2020-01-27 01:00:00,1.10196,1.10195,1.10201,1.10174
2020-01-28 01:00:00,1.10194,1.10224,1.10253,1.09980
2020-01-28 01:00:00,1.10223,1.10229,1.10278,1.10205
2020-01-29 01:00:00,1.10228,1.10140,1.10229,1.09924
2020-01-29 01:00:00,1.10141,1.10131,1.10173,1.10128
2020-01-30 01:00:00,1.10131,1.10289,1.10395,1.10070
2020-01-30 01:00:00,1.10288,1.10324,1.10332,1.10278
2020-01-31 01:00:00,1.10324,1.10952,1.10961,1.10170
