,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
0,-9.030025802234125,-8.164455477631986,-6.929880367333755,-5.373791435833152,-4.208832373230845,-3.210108412219098,-1.6076110185330212,-0.1655144057195388,0.5250861090070151,1.3754352902344462,1.8202052650073086,2.041564548070667,2.5497540391711255,3.487174356031513,3.9135098616249224,3.7302855407687487,3.026069235612861,0.7279130290048466
1,-9.20904561423768,-8.251705233368643,-6.8784411255722855,-5.238612772632012,-4.36691837835293,-3.311532660223216,-1.5360504786378952,-0.1408296953175635,0.5638627833174295,1.3991737492094025,1.884897802158703,1.7016198149088357,2.1459444432286436,3.0482297642406007,3.3508082186993278,3.2530322657978683,2.671676085814806,0.8288547052654605
2,-9.094030452800746,-8.407204600210214,-6.969560889897786,-5.414012053285068,-4.55403318307357,-3.4689538734578704,-1.8921887181557975,-0.42690401982207227,0.42133570684636146,1.3104070084987631,1.7982415468045916,2.012295747414772,2.4146807067540257,3.2827447288156337,3.6648666010641646,3.5611114122037604,2.4630670935269956,0.6580642351744526
3,-9.554943511315031,-8.50487517159931,-6.839111971967556,-5.415164596262813,-4.358893397266382,-3.058883390424742,-1.7072232642607101,-0.41201342269841956,0.803040777560614,1.4986768606316643,1.9569658866442405,2.102286329409224,2.378392880147159,3.1096765957435446,3.439717910012493,3.354220550494428,2.4578102118919496,0.7390439010002482
4,-9.726071724526019,-8.19436376972521,-6.466887660617522,-5.173337182199951,-4.13756502243835,-2.585918070129842,-1.1279396994887723,-0.005041422081946578,1.2506497589855303,1.9856031723018548,2.238506727603677,2.54266094420833,3.135796312334495,3.742645569145,3.8397820583259468,3.6505088443457745,1.9881828405231956,0.15539780619918586
5,-9.70505538661746,-8.065078356971796,-6.2300486887636035,-5.1657230862667625,-4.12667033204627,-2.540763860260041,-1.087877973193441,0.054397332397178144,1.2613028613294825,1.9951360778362737,1.9626806729995112,2.2039484083565877,2.7230376466546353,3.2121317517701584,3.4450727840762694,3.3128647710662977,2.0420347062261968,0.2131914555454486
6,-9.665857321995425,-7.961162645396534,-6.145416451090512,-5.013004112437743,-3.959225108376659,-2.7918948808585835,-1.1698754696724603,0.02204456569315727,1.1678081949796364,1.910056617089368,2.2387934239583984,2.303252650330419,2.8460772900139153,3.451481704873316,3.646983875244337,3.156480447923861,1.9080024871621646,-0.15214801080098606
7,-9.627131405289864,-7.72351116802515,-6.076575312116352,-4.732356055823139,-3.5206253137903323,-2.635286897230337,-1.097854485966626,0.5186541118764073,1.408771449437761,2.1556371200927518,2.377271135659468,2.2488100322364866,2.6396996611780397,3.1469767217866798,3.325845433141738,3.0212401399782522,1.913002066272674,-0.24691390776672373
8,-9.206926394373955,-7.252219304843112,-5.741806296108433,-4.571748526659553,-3.241973944732233,-2.1784973886180956,-0.8096693329186482,0.7598706749764729,1.7681689904061129,2.322854356865808,2.5988290257967805,2.7777942248121708,3.0716341696962104,3.480280454359896,3.6922690606180097,2.6589728574087315,1.342846711957959,-0.8145922149180165
9,-9.057844026389665,-7.016159035781399,-5.669413382248528,-4.519456177569214,-3.2560552450528784,-2.1375188705301014,-0.7053354236928129,0.7949729811801712,1.7785267537153158,2.10229719627433,2.3434752602268447,2.4607453579007355,2.6830735617394237,3.2175791322319163,3.452365611612429,2.7279058276704853,1.360421641000598,-0.5058529456816275
10,-8.858710622697695,-6.839244350873841,-5.334599622992843,-4.216858339840098,-3.453773459725651,-2.0206473254759114,-0.5735781117788915,0.7764396259121817,1.8154472862835134,2.401698958357076,2.381451695619742,2.549787053520048,2.8233537056313818,3.2902981897741634,3.3087026396568664,2.5682190649411787,1.030735344005048,-0.9588211042025357
11,-8.602828745338803,-6.7710924044867555,-5.053217162265023,-3.8822616711459776,-3.3587789344744774,-1.88617342817455,0.01367036915168185,1.0470415730210232,2.174415262575487,2.639482655138236,2.3378962109971755,2.3560759476630593,2.5606372885961064,2.9359092915557596,3.0808786289145367,2.5417378283742593,0.8269992451467729,-0.8542652857525062
